shear_rate,shear_stress,viscosity,torque
0.311,0.0887,0.285,2.17
0.321,0.0887,0.276,2.17
0.332,0.0895,0.27,2.19
0.343,0.0909,0.265,2.22
0.354,0.0966,0.273,2.36
0.366,0.096,0.263,2.35
0.378,0.0957,0.253,2.34
0.39,0.0995,0.255,2.43
0.403,0.0981,0.243,2.4
0.416,0.103,0.248,2.53
0.43,0.105,0.245,2.57
0.444,0.104,0.234,2.54
0.459,0.105,0.229,2.57
0.474,0.108,0.228,2.64
0.489,0.11,0.225,2.69
0.505,0.112,0.222,2.74
0.522,0.112,0.214,2.73
0.539,0.118,0.22,2.89
0.556,0.119,0.214,2.91
0.575,0.119,0.207,2.91
0.594,0.123,0.208,3.01
0.613,0.123,0.2,3
0.633,0.126,0.199,3.08
0.654,0.126,0.193,3.08
0.676,0.129,0.19,3.14
0.698,0.129,0.185,3.16
0.721,0.132,0.183,3.22
0.744,0.135,0.182,3.3
0.769,0.138,0.179,3.37
0.794,0.141,0.177,3.43
0.82,0.141,0.172,3.45
0.847,0.144,0.17,3.52
0.875,0.146,0.167,3.56
0.904,0.145,0.161,3.55
0.933,0.149,0.159,3.64
0.964,0.152,0.158,3.72
0.995,0.155,0.156,3.79
1.03,0.156,0.151,3.8
1.06,0.159,0.149,3.88
1.1,0.162,0.148,3.96
1.13,0.166,0.147,4.07
1.17,0.169,0.144,4.13
1.21,0.169,0.14,4.12
1.25,0.171,0.137,4.17
1.29,0.176,0.137,4.31
1.33,0.179,0.135,4.38
1.37,0.181,0.132,4.42
1.42,0.182,0.128,4.45
1.47,0.187,0.127,4.56
1.52,0.187,0.124,4.57
1.56,0.192,0.122,4.68
1.62,0.194,0.12,4.73
1.67,0.198,0.119,4.84
1.72,0.201,0.117,4.92
1.78,0.204,0.115,4.99
1.84,0.208,0.113,5.08
1.9,0.211,0.111,5.15
1.96,0.213,0.109,5.22
2.03,0.218,0.107,5.32
2.09,0.22,0.105,5.38
2.16,0.223,0.103,5.46
2.23,0.227,0.102,5.55
2.31,0.231,0.1,5.64
2.38,0.233,0.0979,5.7
2.46,0.237,0.0963,5.79
2.54,0.241,0.095,5.9
