shear_rate,shear_stress,viscosity,torque
0.0619,0.0434,0.701,1.06
0.0639,0.0451,0.706,1.1
0.066,0.0462,0.7,1.13
0.0682,0.0474,0.695,1.16
0.0704,0.049,0.696,1.2
0.0727,0.0505,0.694,1.23
0.075,0.0528,0.704,1.29
0.0776,0.0532,0.686,1.3
0.0801,0.0542,0.677,1.33
0.0828,0.0558,0.674,1.36
0.0855,0.0585,0.685,1.43
0.0882,0.0591,0.67,1.44
0.0911,0.061,0.67,1.49
0.0941,0.0613,0.651,1.5
0.0971,0.0641,0.66,1.57
0.1,0.0655,0.653,1.6
0.104,0.0663,0.638,1.62
0.107,0.0685,0.64,1.67
0.111,0.0706,0.638,1.73
0.114,0.0717,0.628,1.75
0.118,0.0729,0.617,1.78
0.122,0.0752,0.616,1.84
0.126,0.077,0.612,1.88
0.13,0.0789,0.607,1.93
0.134,0.081,0.603,1.98
0.139,0.0819,0.59,2
0.143,0.0843,0.588,2.06
0.148,0.0855,0.578,2.09
0.153,0.0869,0.568,2.12
0.158,0.0878,0.556,2.15
0.163,0.0916,0.562,2.24
0.168,0.095,0.565,2.32
0.174,0.0928,0.533,2.27
0.18,0.0966,0.537,2.36
0.186,0.0986,0.531,2.41
0.192,0.0996,0.519,2.43
0.198,0.102,0.514,2.49
0.204,0.104,0.509,2.55
0.211,0.109,0.518,2.67
0.218,0.109,0.5,2.66
0.225,0.112,0.5,2.75
0.233,0.111,0.478,2.72
0.24,0.115,0.479,2.81
0.248,0.116,0.468,2.84
0.256,0.118,0.459,2.87
0.265,0.121,0.456,2.95
0.274,0.121,0.441,2.95
0.282,0.125,0.443,3.05
0.292,0.124,0.425,3.03
0.301,0.129,0.428,3.15
0.311,0.132,0.425,3.23
0.322,0.133,0.414,3.25
0.332,0.135,0.408,3.31
0.342,0.141,0.41,3.43
0.354,0.14,0.396,3.43
0.366,0.141,0.386,3.45
0.378,0.144,0.382,3.52
0.39,0.146,0.374,3.57
0.403,0.149,0.369,3.64
0.416,0.152,0.365,3.71
0.43,0.152,0.353,3.71
0.444,0.153,0.346,3.75
0.458,0.158,0.345,3.86
0.474,0.158,0.333,3.86
0.489,0.161,0.33,3.95
0.505,0.163,0.324,3.99
0.522,0.167,0.319,4.07
0.539,0.168,0.311,4.1
0.556,0.172,0.309,4.2
0.575,0.173,0.3,4.22
0.594,0.173,0.291,4.23
0.613,0.176,0.288,4.31
0.633,0.18,0.283,4.39
0.654,0.184,0.281,4.48
0.675,0.185,0.274,4.52
0.698,0.187,0.268,4.58
0.721,0.19,0.264,4.66
0.744,0.194,0.261,4.75
0.769,0.196,0.254,4.78
0.794,0.201,0.253,4.91
0.82,0.203,0.247,4.96
0.847,0.204,0.241,4.99
0.875,0.207,0.237,5.06
0.903,0.21,0.233,5.14
0.933,0.213,0.228,5.21
0.964,0.217,0.225,5.3
0.995,0.219,0.22,5.35
1.03,0.22,0.214,5.38
1.06,0.225,0.212,5.49
1.1,0.228,0.208,5.56
1.13,0.231,0.204,5.65
1.17,0.234,0.2,5.71
1.21,0.237,0.196,5.79
1.25,0.242,0.194,5.91
1.29,0.246,0.191,6.01
1.33,0.248,0.186,6.06
1.37,0.251,0.183,6.15
1.42,0.255,0.18,6.24
1.47,0.259,0.177,6.34
1.51,0.262,0.173,6.39
1.56,0.266,0.17,6.51
1.62,0.27,0.167,6.59
1.67,0.273,0.163,6.67
1.72,0.278,0.161,6.8
1.78,0.28,0.157,6.83
1.84,0.283,0.154,6.92
1.9,0.289,0.152,7.07
1.96,0.293,0.149,7.16
2.03,0.296,0.146,7.24
2.09,0.3,0.144,7.34
2.16,0.305,0.141,7.46
2.23,0.308,0.138,7.54
2.31,0.313,0.136,7.64
2.38,0.318,0.134,7.77
2.46,0.322,0.131,7.87
